write_yeardate_time,userid,nickname,action,yeardate,time,tradename,partyname,location,remark
2024-08-23T00:04,U66da2ba27e83014da52f28455ef19c7c,明明,Insert,2024-08-23,22:00,安安,安安,六條岔道,明明，暫時資料庫的資料寫入最終訂單
2024-08-23T00:18,U66da2ba27e83014da52f28455ef19c7c,明明,Delete,2024-08-23,22:00,,,六條岔道,明明，刪除22:00的訂單
2024-08-23T00:18,U66da2ba27e83014da52f28455ef19c7c,明明,Delete,2024-08-23,23:20,,,六條岔道,明明，刪除23:20的訂單
2024-08-23T01:17,U66da2ba27e83014da52f28455ef19c7c,明明,Insert,2024-08-23,22:00,安安,安安,六條岔道,明明，暫時資料庫的資料寫入最終訂單
2024-08-23T01:18,U66da2ba27e83014da52f28455ef19c7c,明明,Insert,2024-08-23,21:00,安安,安安,六條岔道,明明，暫時資料庫的資料寫入最終訂單
2024-08-23T01:18,U66da2ba27e83014da52f28455ef19c7c,明明,Delete,2024-08-23,21:00,,,六條岔道,明明，刪除21:00的訂單
2024-08-23T02:21,U66da2ba27e83014da52f28455ef19c7c,那天,Insert,2024-08-23,20:50,百,掰掰,六條岔道,那天，暫時資料庫的資料寫入最終訂單
2024-08-23T02:21,U66da2ba27e83014da52f28455ef19c7c,那天,Delete,2024-08-23,22:00,,,六條岔道,那天，刪除22:00的訂單
2024-08-23T02:24,U66da2ba27e83014da52f28455ef19c7c,那天,Insert,2024-08-23,20:55,安安,安安安安,六條岔道,那天，暫時資料庫的資料寫入最終訂單
2024-08-23T02:27,U66da2ba27e83014da52f28455ef19c7c,那天,Delete,2024-08-23,20:55,,,六條岔道,那天，刪除20:55的訂單
2024-08-23T02:33,U66da2ba27e83014da52f28455ef19c7c,那天,Insert,2024-08-23,20:05,安安,安安安安,六條岔道,那天，暫時資料庫的資料寫入最終訂單
2024-08-23T03:00,U66da2ba27e83014da52f28455ef19c7c,那天,Insert,2024-08-23,20:30,安安,安安安安,六條岔道,那天，暫時資料庫的資料寫入最終訂單
2024-08-23T03:04,U66da2ba27e83014da52f28455ef19c7c,那天,Insert,2024-08-23,21:35,安安,安安安安,六條岔道,那天，暫時資料庫的資料寫入最終訂單
2024-08-23T03:30,U66da2ba27e83014da52f28455ef19c7c,那天,Delete,2024-08-23,20:30,,,六條岔道,那天，刪除20:30的訂單
2024-08-23T03:34,U66da2ba27e83014da52f28455ef19c7c,那天,Insert,2024-08-23,21:15,安安,安安安安,六條岔道,那天，暫時資料庫的資料寫入最終訂單
2024-08-23T03:58,U66da2ba27e83014da52f28455ef19c7c,那天,Delete,2024-08-23,21:15,,,六條岔道,那天，刪除21:15的訂單
2024-08-23T04:19,U66da2ba27e83014da52f28455ef19c7c,那天,Insert,2024-08-23,21:50,安安,安安安安,六條岔道,那天，暫時資料庫的資料寫入最終訂單
2024-08-23T04:20,U66da2ba27e83014da52f28455ef19c7c,那天,Delete,2024-08-23,21:35,,,六條岔道,那天，刪除21:35的訂單
2024-08-23T04:21,U66da2ba27e83014da52f28455ef19c7c,那天,Later!,2024-08-23,21:30,安安,安安安安,六條岔道,那天，要確認訂單時被搶先一步
2024-08-23T04:21,U66da2ba27e83014da52f28455ef19c7c,那天,Later!,2024-08-23,21:30,安安,安安安安,六條岔道,那天，要確認訂單時被搶先一步
2024-08-23T04:23,U66da2ba27e83014da52f28455ef19c7c,那天,Later!,2024-08-23,21:30,安安,安安安安,六條岔道,那天，要確認訂單時被搶先一步
2024-08-23T04:26,U66da2ba27e83014da52f28455ef19c7c,那天,Later!,2024-08-23,21:30,安安,安安安安,六條岔道,那天，要確認訂單時被搶先一步
2024-08-23T04:28,U66da2ba27e83014da52f28455ef19c7c,那天,Later!,2024-08-23,21:30,安安,安安安安,六條岔道,那天，要確認訂單時被搶先一步
2024-08-23T04:28,U66da2ba27e83014da52f28455ef19c7c,那天,Later!,2024-08-23,21:30,安安,安安安安,六條岔道,那天，要確認訂單時被搶先一步
2024-08-23T04:29,U66da2ba27e83014da52f28455ef19c7c,那天,Insert,2024-08-23,21:50,安安,安安安安,六條岔道,那天，暫時資料庫的資料寫入最終訂單
2024-08-23T04:29,U66da2ba27e83014da52f28455ef19c7c,那天,Later!,2024-08-23,21:50,安安,安安安安,六條岔道,那天，要確認訂單時被搶先一步
2024-08-23T04:30,U66da2ba27e83014da52f28455ef19c7c,那天,Later!,2024-08-23,21:50,安安,安安安安,六條岔道,那天，要確認訂單時被搶先一步
2024-08-23T05:07,U66da2ba27e83014da52f28455ef19c7c,那天,Delete,2024-08-23,21:50,,,六條岔道,那天，刪除21:50的訂單
2024-08-23T05:24,U66da2ba27e83014da52f28455ef19c7c,那天,Insert,2024-08-23,22:00,安安,安安安安,六條岔道,那天，暫時資料庫的資料寫入最終訂單
2024-08-23T05:31,U66da2ba27e83014da52f28455ef19c7c,那天,Insert,2024-08-23,21:05,安安,安安安安,六條岔道,那天，暫時資料庫的資料寫入最終訂單
2024-08-23T05:31,U66da2ba27e83014da52f28455ef19c7c,那天,Delete,2024-08-23,21:05,,,六條岔道,那天，刪除21:05的訂單
2024-08-23T05:32,U66da2ba27e83014da52f28455ef19c7c,那天,Later!,2024-08-23,21:05,安安,安安安安,六條岔道,那天，要確認訂單時被搶先一步
2024-08-23T05:46,U66da2ba27e83014da52f28455ef19c7c,那天,Later!,2024-08-23,21:20,安安,安安安安,六條岔道,那天，要確認訂單時被搶先一步
2024-08-23T05:46,U66da2ba27e83014da52f28455ef19c7c,那天,Insert,2024-08-23,21:15,安安,安安安安,六條岔道,那天，暫時資料庫的資料寫入最終訂單
2024-08-23T05:47,U66da2ba27e83014da52f28455ef19c7c,那天,Delete,2024-08-23,21:15,,,六條岔道,那天，刪除21:15的訂單
2024-08-23T05:49,U66da2ba27e83014da52f28455ef19c7c,那天,Delete,2024-08-23,22:00,,,六條岔道,那天，刪除22:00的訂單
