write_yeardate_time,userid,nickname,action,yeardate,time,tradename,partyname,location,remark
2024-09-23T21:04,U66da2ba27e83014da52f28455ef19c7c,安安,Insert,2024-09-23,23:35,安安,安安,六條岔道,安安，暫時資料庫的資料寫入最終訂單
2024-09-23T21:56,U66da2ba27e83014da52f28455ef19c7c,安安,Delete,2024-09-23,23:35,,,六條岔道,安安，刪除23:35的訂單
2024-09-23T22:16,U66da2ba27e83014da52f28455ef19c7c,安安,Insert,2024-09-23,23:30,安安,一樣,六條岔道,安安，暫時資料庫的資料寫入最終訂單
2024-09-23T22:35,U66da2ba27e83014da52f28455ef19c7c,安安,Insert,2024-09-23,23:55,安安,媽媽,六條岔道,安安，暫時資料庫的資料寫入最終訂單
2024-09-23T22:35,U66da2ba27e83014da52f28455ef19c7c,安安,Delete,2024-09-23,23:30,,,六條岔道,安安，刪除23:30的訂單
2024-09-23T22:39,U66da2ba27e83014da52f28455ef19c7c,安安,Insert,2024-09-23,23:05,剛剛,偷偷,六條岔道,安安，暫時資料庫的資料寫入最終訂單
2024-09-23T22:39,U66da2ba27e83014da52f28455ef19c7c,安安,Delete,2024-09-23,23:05,,,六條岔道,安安，刪除23:05的訂單
2024-09-23T22:44,U66da2ba27e83014da52f28455ef19c7c,安安,Insert,2024-09-23,23:15,安安,安安,六條岔道,安安，暫時資料庫的資料寫入最終訂單
2024-09-23T22:44,U66da2ba27e83014da52f28455ef19c7c,安安,Later!,2024-09-23,23:15,安安,安安,六條岔道,安安，要確認訂單時被搶先一步
2024-09-23T22:45,U66da2ba27e83014da52f28455ef19c7c,安安,Delete,2024-09-23,23:15,,,六條岔道,安安，刪除23:15的訂單
2024-09-23T22:46,U66da2ba27e83014da52f28455ef19c7c,安安,Insert,2024-09-23,23:20,裝置,我,六條岔道,安安，暫時資料庫的資料寫入最終訂單
2024-09-23T22:47,U66da2ba27e83014da52f28455ef19c7c,安安,Delete,2024-09-23,23:20,,,六條岔道,安安，刪除23:20的訂單
2024-09-23T22:48,U66da2ba27e83014da52f28455ef19c7c,安安,Insert,2024-09-23,23:25,坐在,玩喔,六條岔道,安安，暫時資料庫的資料寫入最終訂單
2024-09-23T22:49,U66da2ba27e83014da52f28455ef19c7c,安安,Delete,2024-09-23,23:55,,,六條岔道,安安，刪除23:55的訂單
2024-09-23T22:50,U66da2ba27e83014da52f28455ef19c7c,安安,Insert,2024-09-23,23:20,安安,安安,六條岔道,安安，暫時資料庫的資料寫入最終訂單
2024-09-23T22:51,U66da2ba27e83014da52f28455ef19c7c,安安,Delete,2024-09-23,23:20,,,六條岔道,安安，刪除23:20的訂單
2024-09-23T22:56,U66da2ba27e83014da52f28455ef19c7c,安安,Insert,2024-09-23,23:30,車車,喔喔,六條岔道,安安，暫時資料庫的資料寫入最終訂單
2024-09-23T22:57,U66da2ba27e83014da52f28455ef19c7c,安安,Delete,2024-09-23,23:25,,,六條岔道,安安，刪除23:25的訂單
2024-09-23T23:00,U66da2ba27e83014da52f28455ef19c7c,安安,Insert,2024-09-23,23:35,安安,安安,六條岔道,安安，暫時資料庫的資料寫入最終訂單
